Case,n,E (GPa),sy (GPa),C (GPa),dP/dh (N/m),Wp/Wt
6,0.1,10,0.1,7.65989142,13276.67732,0.802490813
39,0.3,50,2,81.3786819,52161.44846,0.452806274
81,0,210,0.3,28.1429559,326727.2707,0.971981848
1001,0.145964128,24.518,0.036792082,5.39139744,33958.44158,0.952323195
1002,0.01662948,158.652,0.314353259,45.69150828,217026.3158,0.935024172
1003,0.179914383,23.138,0.08110304,10.23639954,31112.65821,0.892617553
1006,0.248499571,83.518,0.698605786,68.4612957,101945.1219,0.780432192
1008,0.200421464,200.938,1.791465339,161.1823978,247523.8095,0.792119983
1009,0.069375057,125.17298,1.46212455,101.6835347,166111.1377,0.789521553
1012,0.173475534,33.366,0.551258765,35.81615442,38794.70198,0.696228197
1013,0.04541143,76.098,1.273039936,74.32140108,95012.85346,0.748265128
1015,0.13734243,74.168,1.504071357,85.43400822,85943.31983,0.668230531
1016,0.154791826,185.734,4.697898647,239.235773,214128.9199,0.618766357
1018,0.211730791,145.74,5.298021123,222.8971051,154880.9524,0.508883974
